Sembol,Analiz_Tarihi_str,Fiyat (Son),Alis_Fiyati_AnalizGunu,Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
ARMGD,2025-10-22,37.04,37.04,10.22527849789748,9.763249426154262,combo_2
ARTMS,2025-10-22,51.0,51.0,10.22527849789748,9.763249426154262,combo_2
AVPGY,2025-10-22,56.85,56.85,10.22527849789748,9.763249426154262,combo_2
AYGAZ,2025-10-22,186.2,186.2,10.22527849789748,9.763249426154262,combo_2
AZTEK,2025-10-22,53.15,53.15,10.22527849789748,9.763249426154262,combo_2
BAHKM,2025-10-22,55.85,55.85,10.22527849789748,9.763249426154262,combo_2
BARMA,2025-10-22,19.37,19.37,10.22527849789748,9.763249426154262,combo_2
BASGZ,2025-10-22,40.48,40.48,10.22527849789748,9.763249426154262,combo_2
BEGYO,2025-10-22,5.06,5.06,10.22527849789748,9.763249426154262,combo_2
BERA,2025-10-22,18.16,18.16,10.22527849789748,9.763249426154262,combo_2
